name,singer,music URL,image
開始懂了,孫燕姿,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/2f/61/c9/2f61c9ce-f484-cd10-a688-221066094ff5/mzaf_414601807471786816.plus.aac.p.m4a,截圖 2021-01-02 下午3.57.22.png (https://dl.airtable.com/.attachments/23d003033905f6b0c6ca6ddb59eb9f4d/ab2e35e7/2021-01-023.57.22.png)
真實,張惠妹,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/d6/b6/c8/d6b6c85d-0d78-5686-7e70-b790e9b7f61c/mzaf_1358194095282290845.plus.aac.p.m4a,截圖 2021-01-02 下午3.55.48.png (https://dl.airtable.com/.attachments/62118fadf31c2daf325ae9d5bab432e7/e8818ada/2021-01-023.55.48.png)
志明與春嬌,五月天,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/ac/6d/5e/ac6d5e40-dc68-fad8-e7c3-c3db6bdef46a/mzaf_8587076284593073413.plus.aac.p.m4a,截圖 2021-01-02 下午4.01.07.png (https://dl.airtable.com/.attachments/342d60774f0142ddb51f74b585bd2bfe/90b1b1dd/2021-01-024.01.07.png)
安靜,周杰倫,https://audio-ssl.itunes.apple.com/itunes-assets/Music/83/44/60/mzi.dcrlowoa.aac.p.m4a,截圖 2021-01-02 下午4.07.35.png (https://dl.airtable.com/.attachments/966cf0b73920491416a352fa2b0b9230/cbb7ae85/2021-01-024.07.35.png)
天空,蔡依林,https://audio-ssl.itunes.apple.com/itunes-assets/Music/0d/39/ef/mzi.ndkihyyy.aac.p.m4a,截圖 2021-01-02 下午4.12.29.png (https://dl.airtable.com/.attachments/ca3ac8c96cf6c9cd3b6f1b9023bd3f84/f3ea214b/2021-01-024.12.29.png)
他和她的故事,蕭亞軒,https://audio-ssl.itunes.apple.com/itunes-assets/Music3/v4/1a/22/f9/1a22f98f-dd65-29a1-eda9-3b0d69e4a8ea/mzaf_800363279191098675.plus.aac.p.m4a,截圖 2021-01-02 下午4.10.31.png (https://dl.airtable.com/.attachments/5d9ef44652427d17ad151d99e669e5ec/dc46ffc1/2021-01-024.10.31.png)
我還想她,林俊傑,ttps://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/ba/d5/22/bad522cb-b0c3-7a8b-0964-16285eb65e9f/mzaf_793398954970170972.plus.aac.p.m4a,截圖 2021-01-02 下午4.18.31.png (https://dl.airtable.com/.attachments/394a193fe255ec06c5087e9a36ac7fbb/7f06046e/2021-01-024.18.31.png)
流淚手心,王力宏,https://audio-ssl.itunes.apple.com/itunes-assets/Music/db/cd/26/mzm.lpsmngpf.aac.p.m4a,截圖 2021-01-02 下午4.21.50.png (https://dl.airtable.com/.attachments/873091325cd85ae0404858e883d71fec/abb6adb4/2021-01-024.21.50.png)
值得,鄭秀文,https://audio-ssl.itunes.apple.com/itunes-assets/Music/97/25/ae/mzm.vnkuusnn.aac.p.m4a,截圖 2021-01-02 下午4.24.14.png (https://dl.airtable.com/.attachments/c4f047b24c80fe5196b8d4dd0b65c6bc/b58be5d4/2021-01-024.24.14.png)
愛我還是他,陶喆,https://audio-ssl.itunes.apple.com/itunes-assets/Music4/v4/15/82/3f/15823f0d-d680-1cb9-77b1-385ab42dd654/mzaf_4570141289697994483.plus.aac.p.m4a,截圖 2021-01-02 下午4.27.33.png (https://dl.airtable.com/.attachments/5833002d4dd198915f614b4a440d6fff/42089fa6/2021-01-024.27.33.png)
1234567,陳綺貞,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/40/ae/42/40ae425f-2141-3250-0da9-16e161f565c3/mzaf_2605300986594222968.plus.aac.p.m4a,截圖 2021-01-02 下午4.28.57.png (https://dl.airtable.com/.attachments/61bc5ea255a07ed019ebe2d1fb3b7a37/30246060/2021-01-024.28.57.png)
戀戀真言,蘇慧倫,https://audio-ssl.itunes.apple.com/itunes-assets/Music49/v4/01/4f/0b/014f0bbd-9d81-c46d-9aec-e8ae4fe41a67/mzaf_1743728381917247088.plus.aac.p.m4a,截圖 2021-01-02 下午4.31.52.png (https://dl.airtable.com/.attachments/8f32d22ad851139bd07c3c14313569f5/6142b148/2021-01-024.31.52.png)
